=== Part A: band-consistent alternating branches, n=2, R<= 100.0 ===
  sup R=   4.000 D=   63.093199 band=True r=2.376980 a_scaled=-1.462e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   4.500 D=   64.159877 band=True r=2.482750 a_scaled=-1.469e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   6.949 D=   67.869968 band=True r=2.917775 a_scaled=-1.501e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=   9.397 D=   70.220808 band=True r=3.261723 a_scaled=-1.524e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  11.846 D=   71.891417 band=True r=3.548755 a_scaled=-1.542e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  14.295 D=   73.161580 band=True r=3.796503 a_scaled=-1.556e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  16.744 D=   74.171550 band=True r=4.015339 a_scaled=-1.568e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  19.192 D=   75.000753 band=True r=4.211919 a_scaled=-1.578e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  21.641 D=   75.698118 band=True r=4.390786 a_scaled=-1.586e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  24.090 D=   76.295710 band=True r=4.555186 a_scaled=-1.594e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  26.538 D=   76.815567 band=True r=4.707525 a_scaled=-1.601e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  28.987 D=   77.273416 band=True r=4.849640 a_scaled=-1.607e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  31.436 D=   77.680835 band=True r=4.982967 a_scaled=-1.612e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  33.885 D=   78.046562 band=True r=5.108649 a_scaled=-1.617e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  36.333 D=   78.377343 band=True r=5.227614 a_scaled=-1.621e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  38.782 D=   78.678475 band=True r=5.340628 a_scaled=-1.625e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  41.231 D=   78.954190 band=True r=5.448326 a_scaled=-1.629e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  43.679 D=   79.207914 band=True r=5.551246 a_scaled=-1.633e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  46.128 D=   79.442456 band=True r=5.649843 a_scaled=-1.636e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  48.577 D=   79.660143 band=True r=5.744511 a_scaled=-1.639e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  51.026 D=   79.862925 band=True r=5.835589 a_scaled=-1.642e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  53.474 D=   80.052445 band=True r=5.923372 a_scaled=-1.644e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  55.923 D=   80.230104 band=True r=6.008120 a_scaled=-1.647e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  58.372 D=   80.397103 band=True r=6.090064 a_scaled=-1.649e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  sup R=  60.821 D=   80.554478 band=True r=6.169404 a_scaled=-1.651e+02 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
