=== Part A: band-consistent alternating branches, n=3, R<= 30.0 ===
  sup R=   4.000 D=  102.625546 band=True r=2.353755 a_scaled=-2.360e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   4.500 D=  105.112433 band=True r=2.484027 a_scaled=-2.386e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   5.154 D=  107.881958 band=True r=2.642273 a_scaled=-2.416e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   5.808 D=  110.234135 band=True r=2.788701 a_scaled=-2.442e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   6.462 D=  112.265959 band=True r=2.925001 a_scaled=-2.466e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   7.115 D=  114.045299 band=True r=3.052538 a_scaled=-2.488e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   7.769 D=  115.621306 band=True r=3.172430 a_scaled=-2.508e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   8.423 D=  117.030599 band=True r=3.285594 a_scaled=-2.525e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   9.077 D=  118.301108 band=True r=3.392796 a_scaled=-2.542e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=   9.731 D=  119.454576 band=True r=3.494678 a_scaled=-2.557e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  10.385 D=  120.508218 band=True r=3.591781 a_scaled=-2.571e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  11.038 D=  121.475874 band=True r=3.684572 a_scaled=-2.584e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  11.692 D=  122.368818 band=True r=3.773447 a_scaled=-2.596e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  12.346 D=  123.196342 band=True r=3.858754 a_scaled=-2.608e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  13.000 D=  123.966183 band=True r=3.940793 a_scaled=-2.618e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  13.654 D=  124.684846 band=True r=4.019828 a_scaled=-2.629e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  14.308 D=  125.357846 band=True r=4.096092 a_scaled=-2.638e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  14.962 D=  125.989892 band=True r=4.169792 a_scaled=-2.647e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  15.615 D=  126.585037 band=True r=4.241111 a_scaled=-2.656e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  16.269 D=  127.146789 band=True r=4.310214 a_scaled=-2.664e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  16.923 D=  127.678202 band=True r=4.377248 a_scaled=-2.671e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  17.577 D=  128.181950 band=True r=4.442346 a_scaled=-2.679e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  18.231 D=  128.660388 band=True r=4.505629 a_scaled=-2.686e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  18.885 D=  129.115594 band=True r=4.567205 a_scaled=-2.692e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  19.538 D=  129.549416 band=True r=4.627174 a_scaled=-2.699e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  20.192 D=  129.963499 band=True r=4.685627 a_scaled=-2.705e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  20.846 D=  130.359317 band=True r=4.742647 a_scaled=-2.711e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  21.500 D=  130.738192 band=True r=4.798310 a_scaled=-2.716e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  22.154 D=  131.101313 band=True r=4.852687 a_scaled=-2.722e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  22.808 D=  131.449759 band=True r=4.905842 a_scaled=-2.727e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  23.462 D=  131.784504 band=True r=4.957834 a_scaled=-2.732e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  24.115 D=  132.106435 band=True r=5.008720 a_scaled=-2.737e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  24.769 D=  132.416358 band=True r=5.058551 a_scaled=-2.741e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  25.423 D=  132.715012 band=True r=5.107375 a_scaled=-2.746e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  sup R=  26.077 D=  133.003072 band=True r=5.155236 a_scaled=-2.750e+02 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
