==== SUP R=4.0 ====
  b=0.050: C1=[0.430,0.594]  C2=[0.356,0.520]
  b=0.115: C1=[0.463,0.690]  C2=[0.195,0.422]
  b=0.181: C1=[0.519,0.743]  C2=[0.076,0.300]
  b=0.246: C1=[0.570]  C2=[0.184]
  b=0.312: C1=[0.595]  C2=[0.094]
  b=0.377: C1=[0.601]  C2=[0.022]
  b=0.442: C1=[]  C2=[]
  b=0.508: C1=[]  C2=[]
  b=0.573: C1=[]  C2=[]
  b=0.638: C1=[]  C2=[]
  b=0.704: C1=[]  C2=[]
  b=0.769: C1=[]  C2=[]
  b=0.835: C1=[]  C2=[]
  b=0.900: C1=[]  C2=[]
==== INF R=4.0 ====
  b=0.050: C1=[0.417,0.579]  C2=[0.371,0.533]
  b=0.115: C1=[0.410,0.567]  C2=[0.317,0.474]
  b=0.181: C1=[0.398,0.547]  C2=[0.272,0.422]
  b=0.246: C1=[0.379,0.520]  C2=[0.234,0.375]
  b=0.312: C1=[0.356,0.490]  C2=[0.199,0.332]
  b=0.377: C1=[0.331,0.458]  C2=[0.165,0.292]
  b=0.442: C1=[0.305,0.428]  C2=[0.130,0.253]
  b=0.508: C1=[0.281,0.407]  C2=[0.086,0.212]
  b=0.573: C1=[0.262,0.399]  C2=[0.028,0.165]
  b=0.638: C1=[0.253]  C2=[0.108]
  b=0.704: C1=[0.250]  C2=[0.046]
  b=0.769: C1=[]  C2=[]
  b=0.835: C1=[]  C2=[]
  b=0.900: C1=[]  C2=[]
